title,author
The Wisdom Of Crowds,Joe Abercrombie
The Echo Wife,Sarah Gailey
On Fragile Waves,E. Lily Yu
Energy,Vaclav Smil
Tropical Infectious Diseases,Richard L. Guerrant
Death Of My Aunt,C. H. B. Kitchin
Caps For Sale,Esphyr Slobodkina
Youth In Revolt,M. D. Payne
Haiku,Mary Dawson Hughes
The Rover,Aphra Behn
The Vortex,Noel Coward
The Boys Of Summer,Roger Kahn
Livets Ax,Sven Delblanc
"The Great Crash, 1929",John Kenneth Galbraith
The Little Shepherd Of Kingdom Come,John Fox Jr.
Someplace To Be Flying,Charles de Lint
My Journey to Lhasa,Alexandra David-Neel
The Little Foxes,Lillian Hellman
The Voyages of Doctor Dolittle,Hugh Lofting
Going Postal,Terry Pratchett
This Is How It Always Is,Laurie Frankel
Enneads,Plotinus
The Valleys of the Assassins,Freya Stark
The Secret Of The Old Clock,Carolyn Keene
A Child's Garden Of Verses,Robert Louis Stevenson
The Human Comedy,William Saroyan
Black Tickets,Jayne Anne Phillips
The Rhetoric of Fiction,Wayne C. Booth
Johnny Tremain,Esther Forbes
My Side Of The Mountain,Jean Craighead George
Titan Ii,David Stumpf
Facial Justice,L. P. Hartley
Beyond The Brillo Box,Arthur C. Danto
Fromont Junior & Risler Senior,Alphonse Daudet
Charles Auchester,Elizabeth Sara Sheppard
My Novel,Edward Bulwer-Lytton
My Life Of Absurdity,Chester Himes
To Be A Machine,Mark O'Connell
Un Beso De Dick,Fernando Molano
Tales Of A Fourth Grade Nothing,Judy Blume
Private Lives,Noel Coward
Julian,Gore Vidal
Pax Britannica,James Morris
"Romantic Gothic tales, 1790-1840",G. Richard Thompson
Painted Devils,Robert Aickman
Such Stuff As Screams Are Made Of,Robert Bloch
Ariel,Lawrence Block
The Princess Of All Lands,Russell Kirk
Tales Of The Werewolf Clan: Vol. I. In The Tomb Of The Bishop,H. Warner Munn
Tales Of The Werewolf Clan: Vol. Ii. The Master Goes Home,H. Warner Munn
"In The Mist, And Other Uncanny Encounters",Elizabeth Walter
Shadows 2,Charles L. Grant
Weird Tales,Peter Haining
A Tide Of Terror,Hugh Lamb
The Year's Best Horror Stories: Vii,Gerald W. Page
Whispers Ii,Stuart David Schiff
The Bride Wore Black,Cornell Woolrich
Syntactic Structures,Noam Chomsky
Nova,Samuel R. Delany
What The Butler Saw,Joe Orton
Tau Zero,Poul Anderson
The Women,Clare Booth Luce
Dragonquest,Anne McCaffrey
Maybe Esther,Katja Petrowskaja
Have Space Suit—Will Travel,Robert A. Heinlein
"Alas, Babylon",Pat Frank
High-Rise,J. G. Ballard
Marat Sade,Peter Weiss
Awake And Sing!,Clifford Odets
"Charles Bovary, Country Doctor",Jean Améry
Still Alive,Ruth Klüger
Krieg Ohne Schlacht,Heiner Müller
Thank You and Other Poems,Kenneth Koch
Ramona The Pest,Beverly Cleary
The Confession Of A Fool,August Strindberg
The Opinions Of Jerome Coignard,Anatole France
Plato And Platonism,Walter Pater
Jim Grant,Peter Adamson
Frank Stewart's Bridge Club,Frank Stewart
Enriching The Earth,Vaclav Smil
Queen Victoria,Lytton Strachey
The Mighty And Their Fall,Ivy Compton-Burnett
The Fox In The Attic,Richard Hughes
To Have And To Hold,Mary Johnston
Vinter I Paradiset,Ulf Lundell
Counterparts,Elizabeth Sara Sheppard
Women in Their Beds,Gina Berriault
The Year of the French,Thomas Flanagan
The Middleman and Other Stories,Bharati Mukherjee
A Year in Provence,Peter Mayle
What Hath God Wrought,Daniel Walker Howe
Founding Brothers,Joseph Ellis
The Joy of Sex,Alex Comfort
The God Delusion,Richard Dawkins
The Accidental,Ali Smith
Dart,Alice Oswald
The Damned Utd,David Peace
The Ascent of Money,Niall Ferguson
Berlin,Antony Beevor
The Emperor's Babe,Bernardine Evaristo
Felicia's Journey,William Trevor
The Suspicions of Mr Whicher,Kate Summerscale
Clockers,Richard Price
Hunger of Memory,Richard Rodriguez
The Eye in the Door,Pat Barker
A Place of Greater Safety,Hilary Mantel
The King Must Die,Mary Renault
The Water Dancer,Ta-Nehisi Coates
Swing Time,Zadie Smith
The Ocean at the End of the Lane,Neil Gaiman
Signs Preceding the End of the World,Yuri Herrera
Visitation,Jenny Erpenbeck
The Siege,Helen Dunmore
The Postman,David Brin
Anansi Boys,Neil Gaiman
The Separation,Christopher Priest
Quicksilver,Neal Stephenson
Zoo City,Lauren Beukes
The Life Changing Magic Of Tidying Up,Marie Kondo
We Should All Be Feminists,Chimamanda Ngozi Adichie
May We Be Forgiven,A. M. Homes
Catherine The Great,Robert K. Massie
The First Three Minutes,Steven Weinberg
Whipping Girl,Julia Serano
The Tattooist Of Auschwitz,Heather Morris
"Women, Race, And Class",Angela Davis
In Search Of Our Mothers' Gardens,Alice Walker
Topdog Underdog,Suzan-Lori Parks
Sweat,Lynn Nottage
Freedom Is A Constant Struggle,Angela Davis
Trust Exercise,Susan Choi
Indian Horse,Richard Wagamese
In Custody,Anita Desai
Rivers Of London,Ben Aaronovitch
Scott Pilgrim's Precious Little Life,Bryan Lee O'Malley
Akira,Katsuhiro Otomo
The Body Keeps The Score,Bessel van der Kolk
How Music Works,David Byrne
Pattern Recognition,William Gibson
The Lies Of Locke Lamora,Scott Lynch
Ninth House,Leigh Bardugo
Jerusalem,Jez Butterworth
Copenhagen,Michael Frayn
Glengarry Glen Ross,David Mamet
Noises Off,Michael Frayn
Doubt,John Patrick Shanley
Ruined,Lynn Nottage
M. Butterfly,David Henry Hwang
The White Dragon,Anne McCaffrey
The Imperfectionists,Tom Rachman
Beautiful Ruins,Jess Walter
Restoration,Rose Tremain
Journal Of A Solitude,May Sarton
Tiny Beautiful Things,Cheryl Strayed
The Boys In The Boat,Daniel James Brown
This Is How You Lose Her,Junot Diaz
The Witcher,Andrzej Sapkowski
Bag Of Bones,Stephen King
She Who Became The Sun,Shelley Parker-Chan
The Starless Sea,Erin Morgenstern
Because Of Winn Dixie,Kate DiCamillo
The Tale Of Despereaux,Kate DiCamillo
Mrs. Frisby And The Rats Of Nimh,Robert C. O'Brien
Neurotribes,Steve Silberman
A Walk In The Woods,Bill Bryson
Means Of Ascent,Robert Caro
The Sweet Hereafter,Russell Banks
The Glass Palace,Amitav Ghosh
Lost Boy Lost Girl,Peter Straub
Paradise,Abdulrazak Gurnah
The Song Of Everlasting Sorrow,Wang Anyi
Gomorrah,Roberto Saviano
Bloodlands,Timothy Snyder
Don't Let The Pigeon Drive The Bus!,Mo Willems
Chicka Chicka Boom Boom,Bill Martin Jr.
In Ascension,Martin MacInnes
Peace Like A River,Leif Enger
The Anthropocene Reviewed,John Green
The Only Good Indians,Stephen Graham Jones
Dead In The Water,Nancy Holder
The Very Secret Society Of Irregular Witches,Sangu Mandanna
Bride,Ali Hazelwood
Loved And Missed,Susie Boyt
Jumanji,Chris Van Allsburg
Let Us Descend,Jesmyn Ward
The Garden Of Allah,Robert Hichens
Homesick for Another World,Ottessa Moshfegh
Grey Souls,Philippe Claudel
How To,Randall Munroe
Range,David Epstein
Shapes Of Native Nonfiction,Elissa Washuta
The Eunuch Of Constantinople,Zülfü Livaneli
Si,Bob Ong
The Admirable Crichton,J. M. Barrie
The Earth's Biosphere,Vaclav Smil
Beyond Smoke And Mirrors,Douglas S. Massey
India Under British Rule From The Foundation Of The East India Company,James Talboys Wheeler
A Short History Of The English People,John Richard Green
Island,Aldous Huxley
An Error Of Judgement,Pamela Hansford Johnson
The Man From Glengarry,Ralph Connor
Cardigan,Robert W. Chambers
Obra Poética,Gregório De Matos
The Parasite,Ramsey Campbell
Necropolis,Basil Copper
New Tales Of The Cthulhu Mythos,Ramsey Campbell
New Terrors Two,Ramsey Campbell
Shadows 3,Charles L. Grant
The World Fantasy Awards: Vol. 2,Fritz Leiber
The Year's Best Horror Stories: Viii,Karl Edward Wagner
How Far Can You Go?,David Lodge
The Crystal Shard,R. A. Salvatore
Water Music,T. C. Boyle
Energy At The Crossroads,Vaclav Smil
Who's Teaching Your Children?,Vivian Troen
"Theocritus, Bion And Moschus",Andrew Lang
A History Of The American People,Woodrow Wilson
The Bachelor Of The Albany,M. W. Savage
Pornography,Andrea Dworkin
The Beloved Vagabond,William John Locke
The Blazed Trail,Stewart Edward White
Conquest Of The Useless,Werner Herzog
The Karnau Tapes,Marcel Beyer
Kanak Sprak,Feridun Zaimoğlu
Gaston De Latour,Walter Pater
The Complete Poetical Works Of James Russell Lowell,James Russell Lowell
Late Call,Angus Wilson
Sweet Anne Page,Mortimer Collins
The Kagero Diary,Sonja Arntzen
Humanist Manifesto 2000,Paul Kurtz
Simple,Marie-Aude Murail
The Deliverance,Ellen Glasgow
On The Branch,Pierre de Coulevain
The Queen's Quair,Maurice Hewlett
Rivers and Mountains,John Ashbery
Early Novels and Stories,James Baldwin
Poor Charlie's Almanack,Charlie Munger
The World Is Flat,Thomas L. Friedman
Creating The Twentieth Century,Vaclav Smil
The End Of Poverty,Jeffrey D. Sachs
The Lockwood Concern,John O'Hara
Black But Comely,George Whyte-Melville
Writers & Lovers,Lily King
Bye Bye Blondie,Virginie Despentes
La Ligne Noire,Jean-Christophe Grangé
The Titan,Theodore Dreiser
28 Summers,Elin Hilderbrand
The Weavers,Sir Gilbert Parker
Heir To The Empire,Timothy Zahn
Kaspar and Other Plays,Peter Handke
"Youth, A Narrative",Joseph Conrad
The Box,Marc Levinson
The Man Who Fed The World,Leon Hesser
Science Business,Gary P. Pisano
How To Spend $50 Billion To Make The World A Better Place,Bjørn Lomborg
Priorities In Health,Dean T. Jamison
Global Health,Ann Lindstrand
A Man Of The People,Chinua Achebe
The Anti Death League,Kingsley Amis
The Life Of Reason,George Santayana
Humanity,Jonathan Glover
"Love Me Little, Love Me Long",Charles Reade
The Minister's Wooing,Harriet Beecher Stowe
The Shuttle,Frances Hodgson Burnett
Slaves Of New York,Tama Janowitz
Fault Lines,Nancy Huston
The Greatness And Decline Of Rome,Guglielmo Ferrero
Songs My Mother Taught Me,Wakako Yamauchi
Foma Gordeyev,Maxim Gorky
Einstein,Walter Isaacson
Big History,Cynthia Stokes Brown
The Grid,Phillip F. Schewe
The Foundation,Joel L. Fleishman
The Making Of A Tropical Disease,Randall M. Packard
Vaccine,Arthur Allen
The Age Of Extremes,Eric Hobsbawm
"The Function Of The Poet, And Other Essays",James Russell Lowell
Lost In The Funhouse,John Barth
This Book Will Save Your Life,A. M. Homes
Q & A,Vikas Swarup
The Essential Dykes to Watch Out For,Alison Bechdel
Ich Bin In Der Anstalt,Friederike Mayröcker
Rymdväktaren,Peter Nilson
Behave,Robert Sapolsky
The Shepherd Of The Hills,Harold Bell Wright
The Spell Of The Yukon,Robert W. Service
Nog,Rudy Wurlitzer
Collected Stories of Peter Taylor,Peter Taylor
The Hearts and Lives of Men,Fay Weldon
"Hot, Flat, And Crowded",Thomas L. Friedman
Brain Rules,John Medina
The Post American World,Fareed Zakaria
13 Things That Don't Make Sense,Michael Brooks
Energies,Vaclav Smil
Money Well Spent,Paul Brest
Tomorrow's Table,Pamela C. Ronald
Global Catastrophes And Trends,Vaclav Smil
A Champion's Mind,Pete Sampras
Sustainable Energy,David J. C. Mackay
The Romantic Generation,Charles Rosen
The Image Men,J. B. Priestley
Cocksure,Mordecai Richler
A Chair On The Boulevard,Leonard Merrick
Tom Brown At Oxford,Thomas Hughes
The White Man’s Burden,William Russell Easterly
The Broad Highway,Jeffery Farnol
The Sword Of Truth,Terry Goodkind
Adventures In Friendship,David Grayson
Lifsens Rot,Sara Lidman
The Winged Seed,Li-Young Lee
The Servant In The House,Charles Rann Kennedy
A Certain Rich Man,William Allen White
Modern Egypt,Evelyn Baring
Den Tionde Sånggudinnan,Carina Burman
Sarah's Key,Tatiana de Rosnay
The Early Stories,John Updike
Every Summer After,Carley Fortune
Cobalt Red,Siddharth Kara
Fiction and the Figures of Life,William H. Gass
The Short Stories Of Thomas Hardy,Thomas Hardy
Too Big To Fail,Andrew Ross Sorkin
This Time Is Different,Carmen M. Reinhart
Showing Up For Life,Bill Gates
Health Care Will Not Reform Itself,George C. Halvorson
Liberating Learning,Terry M. Moe
Work Hard. Be Nice.,Jay Mathews
In Fed We Trust,David Wessel
Smallpox,D. A. Henderson
The Hair Of The Dog,Karl Sabbagh
Why Don't Students Like School?,Daniel T. Willingham
News Of A Kidnapping,Gabriel García Márquez
Train Go Sorry,Leah Hager Cohen
Nowhere To Run,Gerri Hirshey
The Trial Of Henry Kissinger,Christopher Hitchens
Super Freakonomics,Steven D. Levitt
Brev Från Nollpunkten,Peter Englund
Seltsame Sterne Starren Zur Erde,Emine Sevgi Özdamar
Collected Poems of Frank O'Hara,Frank O'Hara
The Short Stories of F. Scott Fitzgerald,F. Scott Fitzgerald
The Rational Optimist,Matt Ridley
Where Good Ideas Come From,Steven Johnson
Life Is What You Make It,Peter Buffett
Awakening Joy,James Baraz
The Most Powerful Idea In The World,William Rosen
Energy Transitions,Vaclav Smil
Prime Movers Of Globalization,Vaclav Smil
Xkcd,Randall Munroe
Energy Myths And Realities,Vaclav Smil
Educational Economics,Marguerite Roza
The Fever,Sonia Shah
Why America Is Not A New Rome,Vaclav Smil
Stretching The School Dollar,Frederick M. Hess
Why Does College Cost So Much?,Robert B. Archibald
Beyond The Crash,Gordon Brown
Memoir From Antproof Case,Mark Helprin
The Coast Of Utopia,Tom Stoppard
Lady Lee's Widowhood,Sir Edward Bruce Hamley
The Great Illusion,Norman Angell
Dschinns,Fatma Aydemir
Queed,Henry Sydnor Harrison
The Intellectuals And The Masses,John Carey
Landnahme,Christoph Hein
Wir Schlafen Nicht,Kathrin Röggla
April Witch,Majgull Axelsson
The Better Sort,Henry James
Reinventing Fire,Amory Lovins
World On The Edge,Lester R. Brown
For The Love Of Physics,Walter Lewin
Eradication,Nancy Leys Stepan
Unlocking The Gates,Taylor Walsh
Unlocking Energy Innovation,Richard K. Lester
That Used To Be Us,Thomas L. Friedman
Give Smart,Thomas J. Tierney
Modernist Cuisine,Nathan Myhrvold
Change.Edu,Andrew S. Rosen
The Cat's Table,Michael Ondaatje
Poor Economics,Abhijit V. Banerjee
The Magic Of Reality,Richard Dawkins
House On Fire,William H. Foege
Class Warfare,Steven Brill
The Quest,Daniel Yergin
The City That Became Safe,Franklin E. Zimring
Value Added Measures In Education,Douglas N. Harris
The Headspace Guide To Meditation And Mindfulness,Andy Puddicombe
Academically Adrift,Richard Arum
Getting Better,Charles Kenny
Deng Xiaoping And The Transformation Of China,Ezra F. Vogel
The Deep End Of The Ocean,Jacquelyn Mitchard
Marmorne,Philip Gilbert Hamerton
The Boy Who Harnessed The Wind,William Kamkwamba
Portfolios Of The Poor,Daryl Collins
It's Our Turn To Eat,Michela Wrong
Reading Shakespeare's Sonnets,Don Paterson
In My Brother's Shadow,Uwe Timm
The Harvester,Gene Stratton-Porter
A Bed Of Roses,Walter Lionel George
The Ordinary Seaman,Francisco Goldman
How We Live,Rust Hills
The Pleasure of the Text,Roland Barthes
Abundance,Peter Diamandis
The Signal And The Noise,Nate Silver
Interventions,Kofi Annan
The World Until Yesterday,Jared Diamond
Sustainable Materials,Julian M. Allwood
The Cost Of Hope,Amanda Bennett
A World Class Education,Vivien Stewart
One Billion Hungry,Gordon Conway
The Art Of Being Unreasonable,Eli Broad
Tap Dancing To Work,Carol J. Loomis
Passage To Juneau,Jonathan Raban
On The Heights,Berthold Auerbach
The Hairdresser Of Harare,Tendai Huchu
Running The Rift,Naomi Benaron
The Book Of Wonder,Lord Dunsany
"Mark Twain, A Biography",Albert Bigelow Paine
The Promised Land,Mary Antin
The Four Horsemen Of The Apocalypse,Vicente Blasco Ibáñez
According To Mary Magdalene,Marianne Fredriksson
Maria Chapdelaine,Louis HÃ©mon
Children Of Paradise,Marianne Fredriksson
Collected Poems By Alfred Noyes,Alfred Noyes
Part Of The Solution,Ulrich Peltzer
Sexual Perversity in Chicago,David Mamet
The New Fiction,Joe David Bellamy
The Elm Tree On The Mall,Anatole France
How Asia Works,Joe Studwell
Harvesting The Biosphere,Vaclav Smil
Should We Eat Meat?,Vaclav Smil
Making The Modern World,Vaclav Smil
Poor Numbers,Morten Jerven
The Bet,Paul Sabin
Dad Is Fat,Jim Gaffigan
China Along The Yellow River,Cao Jinqing
The Armies,Evelio Rosero
The Spirit Of American Literature,John Albert Macy
Sinister Street,Compton Mackenzie
Pollyanna,Eleanor H. Porter
The Woman Thou Gavest Me,Hall Caine
Taxi,Karen Duve
The Waters of Kronos,Conrad Richter
The Centaur,John Updike
Steps,Jerzy Kosinski
Blood Tie,Mary Lee Settle
Plains Song,Wright Morris
Paco's Story,Larry Heinemann
Middle Passage,Charles R. Johnson
Ship Fever and Other Stories,Andrea Barrett
In America,Susan Sontag
The News from Paraguay,Lily Tuck
Shadow Country,Peter Matthiessen
Superfiction,Joe David Bellamy
A Homemade World,Hugh Kenner
Searching for Caleb,Anne Tyler
Lord of Misrule,Rachel Caine
The Green Knight,Iris Murdoch
Fortune Smiles,Adam Johnson
A Night In The Luxembourg,Remy de Gourmont
How Not To Be Wrong,Jordan Ellenberg
Stress Test,Timothy F. Geithner
Reinventing American Health Care,Ezekiel J. Emanuel
The Myth Of The Strong Leader,Archie Brown
I Would Have Saved Them If I Could,Leonard Michaels
Tadanori Yokoo,Daido Moriyama
Reuben Sachs,Amy Levy
Final Exit,Derek Humphry
Atlas Der Abgelegenen Inseln,Judith Schalansky
Abraham Lincoln,Lord Charnwood
The Bent Twig,Dorothy Canfield Fisher
The Genius,Theodore Dreiser
The Life And Letters Of John Hay,William Roscoe Thayer
Men Of The Old Stone Age,Henry Fairfield Osborn
Pushcart Prize Anthology,Pushcart Prize
The Oranging of America,Max Apple
American Innovations,Rivka Galchen
Sanin,Mikhail Artsybashev
The Country House,John Galsworthy
Becoming Steve Jobs,Brent Schlender
Thing Explainer,Randall Munroe
A Full Life,Jimmy Carter
Epic Measures,Jeremy N. Smith
The Vital Question,Nick Lane
Being Nixon,Evan Thomas
Letters To A Young Novelist,Mario Vargas Llosa
Utopia For Realists,Rutger Bregman
Teenage,Jon Savage
Interpretations Of Literature,Lafcadio Hearn
Seven Great Statesmen In The Warfare Of Humanity With Unreason,Andrew Dickson White
Sa Aking Henerasyon,Kerima Lorena Tariman
Kulto Ni Santiago,Kristian Cordero
Ang Larong Nagwakas Sa Atin,Fe Esperanza Trampe
The Song Of Songs,Hermann Sudermann
Shoe Dog,Phil Knight
String Theory,David Foster Wallace
Late To The Ball,Gerald Marzorati
The Apostolic Fathers,William Wake
The Tyranny Of Experts,William Russell Easterly
The Doctor's Wife,Brian Moore
Falstaff,Robert Nye
The Age Of American Unreason,Susan Jacoby
The Bright Continent,Dayo Olopade
Radiance Of Tomorrow,Ishmael Beah
Blumenberg,Sibylle Lewitscharoff
Duermevela,Melba Escobar
History Of The World War,Frank H. Simonds
Mislaid,Nell Zink
The Future Homemakers Of America,Laurie Graham
Casuals Of The Sea,William McFee
Midnight,Mao Dun
Family,Ba Jin
El Supremo,Edward Lucas White
The Iron Heel,Jack London
Parnassus On Wheels,Christopher Morley
Eloise,Kay Thompson
Nobody Knows My Name,James Baldwin
Monsieur Lecoq,Émile Gaboriau
The History Of The Decline And Fall Of The Roman Empire Volume Ii,Edward Gibbon
"I, etcetera",Susan Sontag
The Changeling,Joy Williams
Tragic Magic,Wesley Brown
The World Within the Word,William H. Gass
Principles,Ray Dalio
Measure What Matters,John Doerr
Life 3.0,Max Tegmark
Destined For War,Graham Allison
Hit Refresh,Satya Nadella
Energy And Civilization,Vaclav Smil
Believe Me,Eddie Izzard
Capitalism Without Capital,Jonathan Haskel
How To Save Your Own Life,Erica Jong
Farewell Companions,James Plunkett
Letters To His Children,Theodore Roosevelt
The Looting Machine,Tom Burgis
The Death Of Rex Nhongo,C. B. George
Children Of Dune,Frank Herbert
The Naked Sun,Isaac Asimov
Nocturne,Frank Swinnerton
The Outline Of History,H. G. Wells
The Home Of The Blizzard,Douglas Mawson
On the Fabric of the Human Body,Andreas Vesalius
Musashi,Eiji Yoshikawa
A Son Of The Middle Border,Hamlin Garland
The Tree Of Heaven,May Sinclair
Slippy Mc Gee,Marie Conway Oemler
My Friend Maigret,Georges Simenon
The Peony Pavilion,Tang Xianzu
"Poems, Essays And Letters Of Joyce Kilmer",Joyce Kilmer
The Collected Poems Of Rupert Brooke,Rupert Brooke
Ice,Anna Kavan
Genetics and the Origin of Species,Theodosius Dobzhansky
The Unconscious,Sigmund Freud
Patterns of Culture,Ruth Benedict
Experiments on Plant Hybridization,Gregor Mendel
The Harmony of the Worlds,Johannes Kepler
Mencken Chrestomathy,H. L. Mencken
Autobiography of an Ex-Colored Man,James Weldon Johnson
Geography,Ptolemy
An Anatomical Exercise on the Motion of the Heart and Blood in Living Beings,William Harvey
The Poems of Wilfred Owen,Wilfred Owen
The Three Hundred Tang Poems,China
The Tibetan Book of the Dead,Padmasambhava
For The Term Of His Natural Life,Marcus Clarke
Return Of Sherlock Holmes,Arthur Conan Doyle
Two Planets,Kurd Laßwitz
Lest Darkness Fall,L. Sprague de Camp
Captains Courageous,Rudyard Kipling
The Origin Of Continents And Oceans,Alfred Wegener
Memento Mori,Muriel Spark
Betsy Tacy,Maud Hart Lovelace
Instead Of A Letter,Diana Athill
The Chemical History Of A Candle,Michael Faraday
A Dictionary Of Modern English Usage,H. W. Fowler
Eastern Approaches,Fitzroy Maclean
Epistulae,Pliny the Younger
The Big Sky,A. B. Guthrie
In The Castle Of My Skin,George Lamming
"Go, Dog. Go!",P. D. Eastman
The Autobiography Of An Unknown Indian,Nirad C. Chaudhuri
Barbarian Spring,Jonas Lüscher
Arbeit Und Struktur,Wolfgang Herrndorf
Das Verschwinden Des Philip S.,Ulrike Edschmid
Legion Of The Damned,Sven Hassel
The Making Of The Middle Ages,R. W. Southern
The Wonder That Was India,Arthur Llewellyn Basham
French Country Cooking,Elizabeth David
The Amateur Cracksman,E. W. Hornung
The Thinking Machine,Jacques Futrelle
Amelia Bedelia,Peggy Parish
D'aulaires' Book Of Greek Myths,Ingri d'Aulaire
Mr. Popper's Penguins,Florence and Richard Atwater
The Borrowers,Mary Norton
The Wild Duck,Henrik Ibsen
Fear and Trembling,Soren Kierkegaard
Logic And Knowledge,Bertrand Russell
The Face Of War,Martha Gellhorn
Bread And Jam For Frances,Russell Hoban
The Story Of Ferdinand,Munro Leaf
Curious George,H. A. Rey
Almagest,Ptolemy
My Life in France,Julia Child
Restaurant At The End Of The Universe,Douglas Adams
Dona Flor And Her Two Husbands,Jorge Amado
Blitzscaling,Reid Hoffman
21 Lessons For The 21st Century,Yuval Noah Harari
Billion Dollar Whale,Tom Wright
Leadership,Doris Kearns Goodwin
The Book Of Why,Judea Pearl
The Spy And The Traitor,Ben Macintyre
Plagues And The Paradox Of Progress,Thomas J. Bollyky
The Future Of Capitalism,Paul Collier
Origin Story,David Christian
Everything Happens For A Reason,Kate Bowler
The Perfect Weapon,David E. Sanger
Outbreak Culture,Pardis Sabeti
Nine Pints,Rose George
Identity,Francis Fukuyama
Army Of None,Paul Scharre
Presidents Of War,Michael Beschloss
Railroader,Howard Green
The Playboy Of The Western World,John Millington Synge
The Great Hunger,Johan Bojer
Troubles,J. G. Farrell
Journal of the Discovery of the Source of the Nile,John Hanning Speke
December Bride,Sam Hanna Bell
Furies Of Calderon,Jim Butcher
Necronomicon,H. P. Lovecraft
Henry Iv,Luigi Pirandello
Memoirs Of A Dutiful Daughter,Simone de Beauvoir
Hiroshima Diary,Michihiko Hachiya
Anatomy Of Criticism,Northrop Frye
The House Of Others,Silvio d'Arzo
Prejudices,H. L. Mencken
Memoirs of a Fox-Hunting Man,Siegfried Sassoon
The Sea Around Us,Rachel Carson
What Is Metaphysics?,Martin Heidegger
The Professional,W. C. Heinz
Reveille in Washington,Margaret Leech
Great River,Paul Horgan
The Long Walk,Slavomir Rawicz
No Picnic on Mount Kenya,Felice Benuzzi
We Die Alone,David Howarth
The Ideological Origins of the American Revolution,Bernard Bailyn
Maggie,Stephen Crane
Home to Harlem,Claude McKay
The Deceivers,John Masters
The Collected Works,Kahlil Gibran
Poems of Rumi,Jalal al-Din Muhammad Rumi
The Warlord of Mars,Edgar Rice Burroughs
The Theory of Economic Development,Joseph A. Schumpeter
The Room On The Roof,Ruskin Bond
The Honourable Schoolboy,John le Carré
The Harp In The South,Ruth Park
Micrographia,Robert Hooke
The Third Life Of Grange Copeland,Alice Walker
Power Without Glory,Frank Hardy
Jeeves In The Offing,P. G. Wodehouse
Robbery Under Arms,Rolf Boldrewood
Hypatia,Charles Kingsley
When Rain Clouds Gather,Bessie Head
Rebecca Of Sunnybrook Farm,Kate Douglas Smith Wiggin
Barnaby Rudge,Charles Dickens
The Cricket In Times Square,George Selden
The Longest Day,Cornelius Ryan
Archy And Mehitabel,Don Marquis
The Common Reader,Virginia Woolf
Guys And Dolls,Damon Runyon
Fer De Lance,Rex Stout
Black Spring,Henry Miller
The Book Of Tea,Kakuzō Okakura
War In Val D'orcia,Iris Origo
Father And Son,E. O. Plauen
Memories Of Peking,Lin Hai-yin
Picnic At Hanging Rock,Joan Lindsay
Le Bal,Irène Némirovsky
White Nights,Fyodor Dostoevsky
The Memoirs Of Sherlock Holmes,Arthur Conan Doyle
Roseanna,Maj Sjöwall
The Devil At The Long Bridge,Riccardo Bacchelli
The Red House Mystery,A. A. Milne
More Work For The Undertaker,Margery Allingham
The Case Of The Sulky Girl,Erle Stanley Gardner
Island Of The Blue Dolphins,Scott O'Dell
The Real Mother Goose,Blanche Fisher Wright
Uncle Abner,Melville Davisson Post
The Mind Of J G Reeder,Edgar Wallace
The Documents In The Case,Dorothy L. Sayers
Before The Fact,Francis Iles
Devil Take The Blue Tail Fly,John Franklin Bardin
The Mabinogion,Unknown
The End Of Eternity,Isaac Asimov
The Mouse And The Motorcycle,Beverly Cleary
White Shadows In The South Seas,Frederick O'Brien
The Case Book Of Sherlock Holmes,Arthur Conan Doyle
Instant Replay,Jerry Kramer
"Life, The Universe And Everything",Douglas Adams
The City And The Stars,Arthur C. Clarke
The Odd Couple,Neil Simon
The Short Cut,Ennio Flaiano
Java Head,Joseph Hergesheimer
The Amazing Interlude,Mary Roberts Rinehart
The Amenities Of Book Collecting,A. Edward Newton
"Miss Mac Intosh, My Darling",Marguerite Young
"Flow My Tears, The Policeman Said",Philip K. Dick
If Beale Street Could Talk,James Baldwin
Picnic,William Inge
The Dutchman,Amiri Baraka
The Coming Of Age,Simone de Beauvoir
If Winter Comes,A. S. M. Hutchinson
Warlock,Oakley Hall
Adrift On The Nile,Naguib Mahfouz
The Complete Adventures Of Curious George,H. A. Rey
The Origins of the Second World War,A. J. P. Taylor
The Man Who Walked Through Time,Colin Fletcher
Roosevelt,James MacGregor Burns
Double Or Nothing,Raymond Federman
Man and His Symbols,Carl Jung
The Word For World Is Forest,Ursula K. Le Guin
Planet Of The Apes,Pierre Boulle
Dying Inside,Robert Silverberg
334,Thomas M. Disch
Helter Skelter,Vincent Bugliosi
The Front Page,Ben Hecht
Lucky Per,Henrik Pontoppidan
Persian Letters,Montesquieu
Tortilla Flat,John Steinbeck
The Tain,Thomas Kinsella
Laidlaw,William McIlvanney
Spring Snow,Yukio Mishima
Vol De Nuit,Antoine de Saint-Exupéry
Tai Pan,James Clavell
Scivias,Hildegard of Bingen
The March,E. L. Doctorow
Collected Poems of Ted Hughes,Ted Hughes
Saville,David Storey
Offshore,Penelope Fitzgerald
Sacred Hunger,Barry Unsworth
The Stripping of the Altars,Eamon Duffy
War Without Mercy,John W. Dower
A Stillness at Appomattox,Bruce Catton
Russia Leaves the War,George F. Kennan
Freedom,Orlando Patterson
How We Die,Sherwin B. Nuland
The Hemingses of Monticello,Annette Gordon-Reed
A Nation under Our Feet,Steven Hahn
The Metaphysical Club,Louis Menand
Gotham,Edwin G. Burrows
